"published_date","published_platform","rating","type","helpful_votes","title","text"
"2023-12-28T08:02:14-05:00","Mobile","5","review","0","Best classes and good environment ","Good thanks for everything good work group 👍 harverd good college for everything development science etc thanks for support "
"2023-12-12T00:38:26-05:00","Desktop","4","review","0","Harvard University","Harvard University was founded in 1636 and is  a private Ivy League research university in Cambridge, Massachusetts. You can easily walk in the campus and admire the magnificent buildings, including library. We visited it in the summer, during the holiday break, and it  was very quiet, really great to have a walk there. "
"2023-12-10T08:21:35-05:00","Mobile","3","review","0","Walk around campus","We did a walk around most of the Harvard Campus, it is beautiful and old, but we expected it to be a bit more like Cambridge university in England. The buildings are beautiful, old and reminiscent of English architecture, but not a-lot was happening, good experience but you could do this in an hour. "
"2023-11-07T21:20:21-05:00","Desktop","4","review","0","Interesting Harvard University","We had a walk through the university grounds with our tour guide - we were on a tour from a cruise ship docked in Boston. Apparently non-university guides are not welcome on this campus, and we were told that if we were accosted by any security personnel we would have to leave straight away. This did not happen, so we got a lot of historical information from our guide and a wander between the various interesting buildings on campus. Worth some time if you can manage it."
"2023-10-02T17:40:42-04:00","Desktop","5","review","0","Lovely university campus has many historic and architecture gems to see!","Finally made it to Harvard!!  This iconic university campus is worth a visit, but do your homework. Just strolling through won't do as the campus proper is so big, encompassing blocks and blocks. We were there for the history and the architecture. As visitors, we were not allowed to enter Memorial Hall so we missed seeing an awesome historic building. Strolling through Harvard Yard, we enjoyed the crowds taking photos with the John Harvard statue (by the esteemed sculptor Daniel Chester French). We checked out Sever Hall by Henry Hobson Richardson, a mainstay in Boston! Also the 1813 University Hall by Charles Bulfinch. Again, as a visitor, we couldn't go inside Widener Library to explore Mr Widener's personal library. We moved on to the Carpenter Center for the Visual Arts, the only Le Corbusier building in this country. We visited the Harvard Art Museums, spending a couple hours enjoying their art collections. The campus is home to two buildings by Minoru Yamasaki (based in our home city of Detroit) so we checked his work here. Then got in the car to see two buildings by Moshe Safdie: Rosovsky Hall and the Class of 59 Chapel; both are buildings designed for contemplation and spiritualness. Totally enjoyed our four hours exploring the Harvard campus!!"
"2023-09-29T08:44:17-04:00","Desktop","4","review","0","Interesting walk around campus grounds & river","Very interesting to wander around the grounds of the campus & to see the students going about their day. We touched the foot of the John Harvard statue which is supposed to bring good luck! We then had a walk along the riverside path which was lovely."
"2023-09-26T04:56:29-04:00","Desktop","5","review","0","Inspirational place","Being there, after all this years watching at movies, and dreaming to walk at the campus, was unbelievable. Amazing and inspirational place. Very clean and safe."
"2023-08-02T16:10:20-04:00","Desktop","5","review","0","Harvard University student guided tour","We took the Harvard student guided tours and lucky us...we had Oliver as our guide! What a gem of a dude! He's a senior at Harvard and comically shared the highs and lows of student life. We were captivated! My young teen even remarked that history was engrossing with Oliver otherwise she'd be bored by history. GO Oliver!"
"2023-07-02T11:55:51-04:00","Desktop","4","review","2","Beautiful historic campus","The beauty, charm, and architecture of so many historic buildings.  We also chose to do a student led tour which we highly recommend.  It is definitely worth just wandering around, at the very least just to get a feel.  The campus itself isn’t very large and doesn’t have many dining or resting spots within (there are plenty surrounding the campus).  It is also worth it to go to the library and just wander around."
"2023-06-24T05:21:02-04:00","Desktop","4","review","0","Nice campus","The buildings of the campus have nice architecture. It is a good place to walk around. The library is worth to visit."
"2023-05-24T11:38:11-04:00","Mobile","4","review","0","Harvard University","They have great accessibility features such as wheelchairs. It is good for groups and they accept credit cards. It is a private Ivy League and one of the best known in the world."
"2023-04-26T09:58:59-04:00","Desktop","5","review","1","Beautiful university!","We wandered around Harvard without a tour guide and to be honest, it was still a super enjoyable experience! The university is absolutely stunning and it was really cool to visit such an iconic place.
I especially enjoyed visiting during the fall because the falling leaves just gave the building a more whimsical look.
Definitely a must visit if you're in the area!"
"2023-04-12T18:27:18-04:00","Desktop","5","review","1","One of the world's great universities","We wandered over the Commons and among the buildings, starting at the subway stop and ending at the Harvard Museums. The Widener Library, the Memorial Church, the Philosophy Building: it's enough to get a sense of what is one of the world's great universities."
"2023-04-03T15:02:44-04:00","Mobile","4","review","0","Start saving for your grandchildren!","We went there without a guided tour. You can see a feel the vibe. Stroll around the beautiful buildings/ halls, park. We read the information online, nevertheless, a guided tour would provably make it even more memorable."
"2023-03-14T12:11:55-04:00","Mobile","5","review","0","The American College","Harvard is an exceptional place, and more than just a University.  Perhaps sounds like a sales brochure, but in this case it is true.  You get to experience the place and history on your own.  A ""old"" turn off to some seeking modern and updated but loved by others."
"2023-03-11T09:37:42-05:00","Desktop","5","review","0","Beautiful seat of learning","Just walking around the campus, reading the descriptions of the Halls, and the great architecture is worth a visit."
"2023-02-06T12:46:10-05:00","Mobile","3","review","0","Underwhelmed","This was a tick off the list.  Was it worth the trip - well if there’s no one about (winter) and you can’t get into buildings (staff and students) it’s all a bit dull to be honest."
"2023-02-03T11:08:12-05:00","Desktop","3","review","0","A bit overhyped?","Nice enough in the university grounds, but didnt grab me as special like Cambridge or Oxford do. Not bad, just not great"
"2023-01-07T14:26:24-05:00","Desktop","5","review","0","Nice walk and great architecture","Nice place for a walk to dsicover and see a great university and great architecture. Some building are accessibles to the general public as well. Nice place to spend an hour or two to wander around."
"2023-01-02T15:39:47-05:00","Desktop","5","review","0","I went there","amazing architecture and learning. One of my best experiences of life. A real highlight - I remember those good ol days. Cambridge Common Pub, Grendalls den, all these were the fun friendly places for joyous moments, and Harvard was the place to be when it comes to choosing colleges. Never forget it x. "
"2022-11-10T07:18:08-05:00","Mobile","3","review","0","A nice walk but not a welcoming feel","The heart of Harvard is beautiful to walk through but the institution is not welcoming to visitors. There are no  friendly spaces such as coffee shops or student centers where one can sit down with a cup of tea or a book.  The outer parameter of the campus is incredibly crowded.  If going, do a quick walk through the campus and head for the much more welcoming center of Cambridge."
"2022-11-10T02:01:56-05:00","Desktop","3","review","0","Typical university setting","As the students were in attendance, we were unable to access any of the buildings.  It was a nice day and we wandered around the beautiful grounds. It reminded us a lot of Cambridge, England."
"2022-10-30T08:02:03-04:00","Mobile","5","review","0","Great tour of Harvard that I finally took.","Isabella was a wonderful quide!! I have been to Harvard over 10 times in the past and this was my first guided tour. Insightful stories on the history of Harvard as well as tidbits on campus life as a Harvard student. I was alone, people in my group came with family or alone, from the all over the US, UK, Netherlands, Singapore, El Salvador and South Korea. 
재미있게 봤습니다. 전세계의 관광객이 와서 듣고, 질문도 하는데 타국의 사람들이 궁금해하는 것도 재미있었습니다. 추천합니다. 아, 좀 춥습니다^^"
"2022-10-21T14:58:04-04:00","Mobile","3","review","0","Walking tour","Visited with my son (14Y) as this was part of colleague preparation. Walking tour is done by students which is very informative. I didn’t like the overall atmosphere as it looked like a public park or tourist attraction more than an educational institute."
"2022-10-04T08:49:33-04:00","Mobile","5","review","0","Imagine this is the place where bright minds come together.","When wondering around and imaging you or oen of your kids goes to this university is a nice feeling. Bright youngster all over. These kids have the ability to influence the future with their brains and attitude."
"2022-08-02T02:05:08-04:00","Desktop","5","review","1","Humbling","Firstly, we would recommend going to the main shop by the subway entrance because you can buy tickets for a tour run by Harvard students/alumni who are very knowledgeable on the campus.

When you walk through the quad and start to see the architecture as well as learn who stayed in each of these stories buildings, it really does bring the place to life."
"2022-07-08T07:07:53-04:00","Desktop","3","review","0","Pretty.","Bec and I made the long walk from Seaport out to see the one-and-only, storied, mighty 'Harvard'. Was it worth it? Sure, we love walking!
But I could have been on any campus in N. America it felt. That said, we did a simple loop of 'Harvard Yard', gawked at a few buildings, spotted the erroneously credited John Harvard statue, then headed back to warmer climes.
If you're an academic and/or historian, maybe this would tickle your fancy more than mine. 
Was it pretty? Sure. Did it stoke images of ""the smartest students on the continent"" within me? Nope."
"2022-06-16T07:14:05-04:00","Mobile","3","review","1","Interesting but that was about it","Interesting but that's about it If you're a future Harvard attendee or you're an educator you'll find it a lot more interesting"
"2022-05-21T08:25:58-04:00","Desktop","4","review","0","Informative and engaging tour","We visited Harvard University on 05/16. We booked an official tour with the university - make sure you book for each individual and not 1 ticket per group (that's the mistake we made!), and immediately upon Friday release as tickets are limited, though free.

Our tour guide Truong was really informative and engaging, eager to answer all questions and tell us all about his experience at Harvard. It was a shame we weren't able to go into buildings but otherwise the campus is stunning.

Definitely recommend (but don't go into the small official Harvard shop, go into Coop, that's our biggest piece of advice)."
"2022-04-26T19:49:46-04:00","Mobile","5","review","0","Beautiful Campus ","When in Boston, you must go to Harvard and drive the campus.  The campus is very beautiful and lively.  It is worth a visit to see this beautiful place."
"2022-03-31T03:05:35-04:00","Desktop","4","review","0","It is ok","Very easy walk. Parking is tricky, look for parking garages, bike rentals available. Wear coat even in the spring, can be windy."
"2022-03-19T13:24:53-04:00","Desktop","1","review","0","Don't waste your time looking for the pretty part of campus there is none.","It's dirty cheap and not good looking, just plain red brick buildings Harvard Square the city outside the gates of the university is dumpy and dirty with bums panhandling socialist bs plastered everywhere, I don't recommend visiting there are beautiful places in Boston this is not one of them."
"2022-02-02T05:54:03-05:00","Mobile","5","review","1","Very good university & business school, worth to visit","We visited Harvard Business School (HBS) and exploring Harvard University last Nov 2021.  HBS and Harvard University are separated by the river, so they’re actually 2 different schools and places. The architecture is very nice, and HBS Library is amazing.  This is a must place to visit when you’re in Cambridge, Boston."
"2021-12-16T13:43:39-05:00","Desktop","4","review","1","America's Oldest College","Not only our oldest college, but among our most prestigious, Harvard University is definitely worth a visit when in Cambridge. The campus is lovely with its red-brick buildings and gracious architecture. Don't miss the John Harvard Statue and Memorial Hall."
"2021-12-06T06:59:43-05:00","Desktop","5","review","0","Very nice place to walk around","I walked around Harvard University in November 2021 for about an hour.  I saw Harvard Yard, the John Harvard statue, Memorial Church, Harvard University Library, Memorial Hall and Massachusetts Hall.  It was a very nice place to walk around especially on a Sunday morning."
"2021-11-25T21:30:52-05:00","Mobile","5","review","2","Beautiful Campus","Such a historic and beautiful campus. Loved walking around and taking in all the beauty. Wish I would have booked a tour to learn more about it!"
"2021-11-13T16:21:33-05:00","Mobile","5","review","2","Beautiful Campus ","When in Boston, you must go to Harvard and drive the campus.  The campus is very beautiful and lively.  It is worth a visit.  "
"2021-09-18T16:59:26-04:00","Desktop","3","review","1","Closed right now","Harvard has closed a number of their facilities as of September due to COVID. Only thing we found available was art museums, and those require a reservation."
"2021-09-10T05:13:35-04:00","Desktop","4","review","0","World class university in Boston, MA area","World Class university in beautiful old setting of Cambridge MA. So much history and so many beautiful brick buildings....you'll notice students are older as there are tons of grad. students. Very busy during week days. Lots of statues and cool historical things to see."
"2021-09-03T10:10:06-04:00","Mobile","3","review","0","Great architecture…","Well what could have been a great day for me turned into a small 2 hour stroll unfortunately I cut my day short because the building was closed all day this Friday . They didn’t allow any tourist to go in our of all weekends . I was a little annoyed 😒, I traveled far n this was on my list I mean I guess I could have come back the next day but I have my days planned out . 

So yeah sucks . .

Hope someone else enjoys . 

Did get some steps in walked around the whole building lots of stores a lot of places to eat :) ."
"2021-08-24T12:14:08-04:00","Desktop","5","review","0","Great Campus","Good times at Harvard University campus. Centrally located. East to get and navigate. Plenty to do.  Lots of souvenir stores, restaurants etc"
"2021-08-21T14:38:23-04:00","Desktop","5","review","0","Historic school","Interesting campus, heavy on the colonial architecture.  Nice quads to picnic on.  No tours yet but I can imagine the history is outstanding."
"2021-08-17T03:21:52-04:00","Mobile","2","review","0","Open … but closed","As an alumnus here, I found it particularly off-putting that each and every single building is closed to the public due to COVID. This made the visit not worth it as I could not properly show the campus to my children, with whom I was visiting.  Every other public venue in the Boston area happens to be open, including museums, stores and restaurants, but not Harvard.  This stark contrast underscores the stupidity of this policy as Harvard remains virtually the sole outlier in continuing the repugnant lockdown and creating an unwelcoming atmosphere for visitors."
"2021-07-09T11:17:38-04:00","Desktop","4","review","1","Walk Around and Feel Smarter","While on vacation in Boston, we took a drive to Harvard U.  We walked around the campus and stopped in at different nearby stores and cafes.  Just fun to walk around and absorb all the knowledge floating in the air."
"2021-06-16T09:44:36-04:00","Mobile","5","review","2","You can Feel the history here","Beautiful campus and you can just feel the history walking around here. Loved reading all the plaques on the buildings. Don’t miss walking around the Divinity campus as well."
"2021-04-09T14:46:31-04:00","Mobile","5","review","3","Love it","It’s a beautiful campus and definitely historic. 
The brick buildings and the combination of modern architecture, make Harvard one of the most appealing areas in Cambridge. 
The courtyard is a great area to hang out and there are lots of shops and places to eat around campus."
"2020-10-28T10:42:34-04:00","Mobile","5","review","2","Beautiful, historic Harvard ","A must see during our Boston trip. 
Such a beautiful campus and the surrounding area in Cambridge is stunning in the fall. "
"2020-10-09T18:17:09-04:00","Mobile","5","review","3","Beautiful Campus","You can walk into Harvard Yard from the hustle and bustle of Harvard Square and immediately transport yourself to the academic environment.  The University uses a house system and each one is unique.  The library is impressive both outside and inside.  Tourists often like to take pictures of the John Harvard statue just inside the Yard."
"2020-05-03T07:02:53-04:00","Desktop","4","review","0","Beautiful Campus","I absolutely loved walking around Harvard. It is such a gorgeous campus, between the historic buildings, green yards, and the views of the Charles River. Perhaps I just got lucky with the timing, but the parts of the campus that I walked around were not very crowded and were quiet (with the exception of Harvard Square). Even if you are not a student, I highly recommend taking a day to visit the campus and seeing everything that Harvard has to offer. And if you’re looking for a good spot for a picture, take a stop by the Johnston Gate."
"2020-04-05T06:03:55-04:00","Mobile","5","review","91","Wonderful! A true factory of knowledge !!","A true factory of knowledge !!  With wonderful architecture and infrastructure focused on the production of knowledge, this place is a must visit!"
"2020-03-15T14:46:24-04:00","Mobile","4","review","2","Lovely stroll","Walk through Harvard Yard and touch John Harvard’s shoe for good luck.  It is a stroll through history and then check out some of the Harvard Museums. "
"2020-03-07T05:39:47-05:00","Mobile","5","review","2","Nice tour of this Historic University Facilitates","Had the opportunity to tour this prestigious historic University.  Beautiful campus with incredible architecture in historic Cambridge MA.  Awesome place!"
